Sila;Przemieszczenie
0.04847844;0.0005
167.6655;1.126
250.3196;2.325875
308.9412;3.525875
346.2505;4.515125
349.915;4.63525
354.0222;4.75525
357.9418;4.875125
361.677;4.99525
95.49936;4.175875
22.91918;2.975625
-18.92328;1.77575
-53.49636;0.575625
-82.52462;-0.6245
-109.446;-1.824375
-136.4962;-3.024375
-163.939;-4.224375
-176.6443;-5.175625
-72.3505;-3.995625
-9.380181;-2.793
40.6146;-1.593125
99.07007;-0.393
155.2598;0.807125
215.2626;2.007
273.7896;3.207
329.2998;4.407
338.304;4.608
342.3882;4.728
347.3258;4.848
351.8677;4.968
146.517;4.724125
44.27831;3.522125
-0.471274;2.322125
-36.15697;1.12225
-65.76936;-0.07775
-93.37823;-1.277875
-121.1437;-2.478
-150.4962;-3.67775
-179.3035;-4.877875
-107.3011;-4.537375
-39.43841;-3.34325
18.29704;-2.143
65.88618;-0.9431251
115.8404;0.23025
89.95612;0.247375
85.30379;0.247375
82.42051;0.247375
80.49488;0.247375
79.1049;0.247375
78.08606;0.247375
77.37716;0.247375
76.78111;0.247375
76.24547;0.247375
75.55326;0.247375
74.96834;0.247375
74.44302;0.247375
74.01387;0.247375
73.82472;0.247375
73.54816;0.247375
73.22868;0.247375
72.76694;0.247375
72.36878;0.247375
72.01592;0.247375
71.75127;0.247375
71.63127;0.247375
71.48345;0.247375
71.36663;0.247375
71.1298;0.247375
70.8437;0.247375
168.7678;1.345625
228.6442;2.54575
288.1678;3.745625
326.128;4.541
331.8779;4.661
337.1072;4.781
341.998;4.901
306.809;5.1055
66.95271;3.91875
8.735657;2.71875
-26.1569;1.518625
-56.7476;0.318875
-84.42402;-0.881375
-112.7052;-2.08125
-142.7102;-3.281375
-171.7385;-4.48125
-139.7419;-4.896125
-59.71829;-3.687875
-0.6516774;-2.488
47.90147;-1.29925
100.0015;-0.09900001
154.1082;1.101
210.7223;2.301
270.7155;3.500875
320.7962;4.51475
326.7598;4.63475
332.7433;4.75475
337.9631;4.874625
343.3728;4.994875
105.4883;4.464625
25.4933;3.26425
-13.23303;2.064125
-44.45314;0.8642501
-72.48004;-0.335875
-98.92226;-1.53575
-127.2829;-2.73575
-157.1806;-3.93575
-186.3178;-5.133125
-91.03696;-4.240375
-26.90395;-3.036875
26.81732;-1.849625
73.20166;-0.6488751
89.42763;0.2045
79.50227;0.2045
75.96651;0.2045
73.80644;0.2045
72.15818;0.2045
70.86277;0.2045
69.94406;0.2045
69.17953;0.2045
68.66614;0.2045
68.24652;0.2045
67.79829;0.2045
67.34451;0.2045
66.75005;0.2045
66.41547;0.2045
66.01015;0.2045
65.7781;0.2045
65.62789;0.2045
65.36246;0.2045
65.26073;0.2045
64.91502;0.2045
64.58601;0.2045
64.34043;0.2045
64.16003;0.2045
64.01936;0.2045
63.9375;0.2045
112.582;0.419625
173.7301;1.623875
233.1058;2.823875
293.8167;4.02375
319.4308;4.56125
326.1352;4.68125
331.9613;4.801375
337.7151;4.921375
196.2781;4.858375
49.40351;3.653
1.657009;2.452875
-34.07319;1.253125
-62.79309;0.053
-90.30183;-1.147125
-118.7952;-2.347125
-147.8752;-3.547
-177.5392;-4.747
-116.396;-4.613875
-45.80975;-3.407
10.01994;-2.219375
56.72852;-1.0185
107.0166;0.181625
161.3847;1.381625
219.9801;2.581625
281.3506;3.781375
321.7506;4.54625
328.2809;4.66625
334.4305;4.786375
340.4514;4.90625
332.7171;5.17175
71.30544;4.05625
11.23508;2.856125
-25.40429;1.656125
-54.07174;0.456125
-81.28802;-0.743875
-108.4328;-1.943875
-137.38;-3.144
-166.9423;-4.343875
-153.8269;-5.0215
