Sila;Przemieszczenie
0.04847844;0.0005
25.05859;0.07575
46.34221;0.22075
83.27325;0.37375
106.6502;0.524625
125.1109;0.6745
141.0532;0.8247501
154.8815;0.975875
167.6655;1.126
180.4408;1.275125
192.198;1.424875
203.2924;1.57575
214.2207;1.726
223.9839;1.87525
233.7853;2.025125
242.4685;2.175875
250.3196;2.325875
258.2924;2.475125
266.7952;2.625125
274.2274;2.775875
282.1914;2.925875
288.972;3.075125
295.7543;3.225
302.5206;3.37575
308.9412;3.525875
315.9904;3.67525
321.7021;3.825
327.0316;3.97575
332.098;4.125875
337.6921;4.27525
342.7966;4.425125
345.3684;4.5005
346.2505;4.515125
346.4429;4.530875
346.8378;4.545
347.0898;4.5605
348.0864;4.575875
348.858;4.589875
348.9335;4.605875
349.5026;4.620375
349.915;4.63525
350.434;4.651125
351.22;4.665
351.4012;4.6805
352.0695;4.696
352.7602;4.71
352.931;4.725875
353.6805;4.740375
354.0222;4.75525
354.5729;4.771
355.4583;4.785
355.3804;4.800625
356.0201;4.815875
356.8641;4.829875
357.0294;4.845875
357.8043;4.860375
357.9418;4.875125
358.1436;4.891
359.2483;4.905
359.5726;4.920625
359.8865;4.935875
360.4245;4.95
360.5096;4.966
361.3329;4.9805
361.677;4.99525
362.3549;5.120875
304.0147;5.06825
226.6677;4.93075
177.0401;4.778625
147.9848;4.627
126.76;4.47575
109.9888;4.325375
95.49936;4.175875
82.7686;4.025875
72.16533;3.875
62.67309;3.725
53.2937;3.575625
44.56441;3.42575
36.85951;3.275
29.65053;3.124875
22.91918;2.975625
16.03842;2.82575
9.971459;2.675
4.977385;2.524875
1.806418;2.37575
-3.146331;2.22575
-8.550485;2.074875
-13.59065;1.924875
-18.92328;1.77575
-23.9555;1.62575
-28.52996;1.475
-32.42652;1.324875
-36.70375;1.175625
-41.39582;1.02575
-45.40443;0.8750001
-49.03952;0.724875
-53.49636;0.575625
-57.63292;0.425625
-61.42855;0.275
-64.7219;0.124875
-68.12254;-0.024375
-72.06917;-0.174375
-75.93632;-0.325
-78.74171;-0.47525
-82.52462;-0.6245
-86.69058;-0.7745
-89.84645;-0.9251251
-93.32657;-1.075375
-96.49515;-1.224375
-99.82188;-1.37425
-103.5492;-1.525
-106.2401;-1.675
-109.446;-1.824375
-113.3505;-1.97425
-116.8942;-2.125125
-120.093;-2.27525
-123.6105;-2.4245
-126.8991;-2.574375
-130.5485;-2.725
-133.4119;-2.87525
-136.4962;-3.024375
-140.4373;-3.17425
-144.0859;-3.325
-147.0375;-3.47525
-150.7703;-3.624375
-154.2799;-3.77425
-157.6519;-3.925
-160.8721;-4.075125
-163.939;-4.224375
-167.6774;-4.374375
-171.5422;-4.525
-174.2196;-4.675125
-177.6656;-4.82425
-181.4898;-4.97425
-184.7323;-5.12475
-183.2263;-5.200625
-176.6443;-5.175625
-151.5174;-5.042125
-134.7979;-4.89125
-121.3845;-4.739875
-110.0191;-4.58825
-99.92043;-4.43675
-89.85361;-4.286
-81.67664;-4.14775
-72.3505;-3.995625
-63.71419;-3.845125
-55.02621;-3.694625
-46.9629;-3.543375
-39.08396;-3.39325
-31.77246;-3.243875
-23.77113;-3.094
-16.2816;-2.94325
-9.380181;-2.793
-2.204577;-2.643625
5.253951;-2.494
12.21816;-2.343125
19.19905;-2.192875
25.97252;-2.04375
33.17277;-1.893875
34.40142;-1.74325
40.6146;-1.593125
48.66998;-1.443875
56.25804;-1.294125
62.97906;-1.14325
69.87174;-0.993125
76.92655;-0.8437501
84.79118;-0.693875
92.11143;-0.543125
99.07007;-0.393
106.0478;-0.243625
113.3315;-0.09387501
120.0509;0.056875
126.8021;0.206875
133.6988;0.35625
140.725;0.506
148.1795;0.656875
155.2598;0.807125
162.5744;0.9563751
170.2388;1.106
177.7419;1.256875
184.7394;1.407125
192.6152;1.556375
200.359;1.706125
207.7874;1.856875
215.2626;2.007
223.1463;2.15625
230.662;2.306125
237.7582;2.456875
244.9226;2.607
252.9152;2.756125
259.5329;2.905875
266.6743;3.056875
273.7896;3.207
281.0891;3.35625
287.2872;3.505875
294.1163;3.65675
300.5592;3.807
309.3592;3.95625
316.4697;4.105875
322.8124;4.25675
329.2998;4.407
333.8623;4.50225
334.4488;4.51725
335.0154;4.533
335.8889;4.547
336.1718;4.56275
337.0293;4.57775
337.9265;4.592
338.304;4.608
338.9271;4.622125
339.0964;4.637375
339.6654;4.653
340.6803;4.666875
340.898;4.682625
341.421;4.69775
341.9304;4.712125
342.3882;4.728
343.3569;4.74225
343.7122;4.757375
344.4004;4.773
345.3167;4.787
345.5647;4.80275
346.2593;4.817625
346.7902;4.832
347.3258;4.848
348.5378;4.86225
348.653;4.87725
349.013;4.893125
350.1558;4.907
350.8004;4.922625
351.5863;4.937625
351.7779;4.952
351.8677;4.968
353.1377;4.98225
353.6415;4.9975
358.1277;5.144375
344.673;5.202625
305.7154;5.1625
224.9447;5.0305
175.7733;4.87575
146.517;4.724125
125.5878;4.573875
108.5448;4.423625
94.37005;4.27275
82.30607;4.122375
71.01933;3.972875
60.63144;3.82325
51.8473;3.672625
44.27831;3.522125
36.37632;3.372875
28.91382;3.223125
22.27386;3.0725
16.35949;2.922125
10.86632;2.772875
7.473628;2.62325
1.629988;2.472375
-0.471274;2.322125
-6.597837;2.172875
-11.68172;2.02325
-16.16875;1.8725
-19.80623;1.722125
-24.04213;1.572625
-28.28995;1.423125
-32.67209;1.272625
-36.15697;1.12225
-39.75074;0.972625
-43.91273;0.8232501
-47.91021;0.6725
-51.13443;0.522125
-54.82833;0.372875
-58.62713;0.223125
-62.2646;0.07250001
-65.76936;-0.07775
-68.9443;-0.227125
-72.87423;-0.376875
-76.75171;-0.5275
-79.61989;-0.677875
-83.01019;-0.8272501
-86.689;-0.9770001
-90.18739;-1.1275
-93.37823;-1.277875
-96.65727;-1.42725
-100.1008;-1.576875
-104.0125;-1.7275
-107.0952;-1.877875
-110.1653;-2.027125
-114.2478;-2.176875
-117.7979;-2.327625
-121.1437;-2.478
-124.743;-2.62725
-128.3693;-2.776875
-132.2468;-2.9275
-135.8088;-3.077875
-139.1125;-3.22725
-143.2403;-3.376875
-147.3387;-3.527375
-150.4962;-3.67775
-154.2687;-3.827125
-158.1462;-3.97675
-161.763;-4.1275
-165.4148;-4.277875
-168.4316;-4.42725
-172.2193;-4.576875
-176.4663;-4.7275
-179.3035;-4.877875
-182.6596;-5.027375
-186.0293;-5.167125
-181.8164;-5.204
-168.5691;-5.139625
-145.9789;-4.991125
-130.9133;-4.840125
-118.6307;-4.689125
-107.3011;-4.537375
-97.24379;-4.385625
-88.25938;-4.241
